x,bid,auctions,wins
0.5852016104967095,2.7193909938657077,7,7
4.567498300049138,2.688336001781131,2,2
1.4816278389979622,0.20017270705892024,4,0
0.8287901248579173,0.18773449651230203,4,0
1.9886793796255888,5.792509306664444,7,7
0.49799739004135724,0.5963716354890484,5,1
4.031862487682799,0.2237716108309449,5,0
4.839562788969945,3.8473825683936127,6,6
5.896451487265284,0.7287300688115782,5,0
3.8139644087811155,0.5935916311319934,6,0
1.295539536283082,0.35284598445893395,4,0
3.2941645925056777,1.382861692005306,3,0
3.2733597480553565,3.1964248896626004,7,7
1.4044564388820098,1.0851188642627358,2,2
0.6823550580424766,0.18975908653615975,4,0
2.997955602293728,2.614353152090829,5,5
0.9126505345307281,2.4873146407222904,5,5
3.1961164833436175,2.4184545829552064,7,5
2.322040610679294,1.2057813236718038,6,6
4.129964300532986,0.7927139139447112,2,0
2.2375629384503575,1.136770336781669,7,2
5.676960269780356,0.18971719029358317,4,0
4.664147508640242,1.5852518577674055,6,2
3.6482058184047266,0.18978893314603004,8,0
3.6913922195164135,0.4279564635738897,8,0
3.8579256076159405,0.2693870189698782,7,0
1.6109010427820079,2.517091481139714,4,4
4.500936891619359,1.369568902588915,4,1
1.72098293652092,1.5334111080573625,5,5
4.256256346957404,0.8204528280272708,6,0
0.38872065283059354,1.3039719839785975,4,4
4.139150875435414,3.4395981925597545,3,3
3.3130070008180645,4.5286588579193285,6,6
3.3229588818633644,0.19079832462355212,5,0
2.0791717787435418,2.4025109634824466,3,2
1.0356777605051861,2.4858629200442093,4,4
3.25159582537911,2.1535523057048813,11,10
0.3106142580946467,1.6118403467626956,6,6
4.953345680425262,0.7687674440864928,8,0
4.266401821388458,2.269806286777888,5,3
0.26500333597780945,0.28286806661855823,10,0
0.4592193692137716,1.276682461529261,7,7
0.06206337066147416,0.3449350050619238,6,0
5.965828933547654,1.8412590313235555,3,1
3.596663382581563,1.5635566370279717,3,1
1.0784328165882193,0.5111209940759482,7,3
2.1862704117964986,0.3189049523600876,2,0
5.183020362258911,1.1877833181338477,5,0
2.701533005775021,5.325563476890778,8,8
5.828218610909829,3.8760450079898385,5,1
0.8139586602912441,1.6877502654213175,4,4
4.294046896216683,2.278683753921224,4,0
5.525689503523579,0.8305261093803321,3,0
5.612186535287165,0.6828667219391215,3,0
5.617817453207548,1.1457070624476404,1,0
4.036644269307673,0.2617144934919508,5,0
5.633955812656375,0.621403046229618,5,0
3.14536638129238,0.9580121882003417,4,0
2.6935305420110613,0.7817664978392227,4,0
0.18766551999312697,2.0999696842439937,5,5
5.154626941848074,0.27693575488390854,1,0
1.09517276413831,0.20062894834196005,7,0
4.369856677971766,3.886277343552288,10,8
5.804209671976155,2.453971914188797,6,1
5.389894475239961,0.8348317857576792,3,0
5.0062290167455155,1.1239895368429567,6,0
3.5430468241702595,2.3658522263932364,4,3
2.1687554915612655,0.27210355035221767,6,0
0.9889841805841071,1.00086090763338,3,1
2.6412705626481996,5.763082666742708,6,6
4.561119127611783,0.2767198868409734,7,0
2.653642997236017,3.8341011796282025,6,6
0.7831403514200763,0.3144250454372651,2,0
1.0922540719175384,2.716861601356507,5,5
5.984623994697841,0.18584187965543908,4,0
1.613111408428223,0.518069872293227,8,1
5.263591301971661,0.22832625553263597,3,0
0.9837633613322845,0.7778216230413333,8,8
5.696604732137004,0.2677327419534011,4,0
2.4010020070657374,4.481081117973193,5,5
3.9160762728116625,0.412639437389995,6,0
4.2643960417388,0.754160218558196,5,0
2.40568399240866,0.3507146210425341,4,0
5.470958040755316,0.43471674695616985,6,0
0.3235073682997154,0.4102122562349746,9,0
2.9712249797656938,0.9352131999728917,3,0
1.4978318435188307,0.37871480409770036,7,0
2.0908251694804014,0.779420969548115,7,1
4.445317030602296,0.3151124904401141,6,0
2.1669420490834685,0.7290518792610486,4,0
3.7844526058671555,0.41617216635486337,5,0
5.845385104016376,3.1199543245657737,4,2
2.5330107620272733,2.919252578836127,2,2
0.37961850454444157,0.5936950177162473,7,6
0.4715221012742128,0.7153838457987634,7,6
1.2351973406590704,0.46304498345742645,4,0
1.7251286164249755,0.21453069168313232,5,0
2.288817659138818,4.995451994002112,4,4
5.01112407109177,0.26787604013410915,3,0
0.4924546071689697,1.1609393903663443,9,9
4.925009233416442,4.053294078283323,2,2
4.899943653971251,3.4855231082760367,3,3
1.9985741969018316,0.5997187737813706,6,0
4.0537905766234985,0.3519096299265894,9,0
5.900614686274657,5.6214479570951665,5,5
5.755195797259489,0.3180807581825583,3,0
4.0196634320127345,1.0126172754660658,3,0
5.357769884349885,1.4571397548082703,1,0
2.085346369943019,4.259879916095904,3,3
3.7899932626063753,1.0079256070249627,5,0
1.1309591711294575,2.261062857184314,5,5
2.0897073682941705,-1.6805776634584575,4,3
5.908662431754358,-1.4944967066498187,4,0
4.509787434547387,1.4878990043859173,5,4
4.998360260310877,0.451489686607445,1,0
0.8521833777550236,0.7633915232057247,6,3
0.08987518597938182,2.3395497638456053,3,3
5.143646831106572,0.5695613236123102,10,0
4.2716726554464,0.2625124366112949,8,0
5.1392411209705005,0.2144055076442389,7,0
5.1696259825790865,0.44229594058002886,7,0
4.774824682370768,0.597135821737593,7,0
2.8626246594950064,5.490379720505073,4,4
0.5590817406649851,1.010740157352118,1,1
1.882144288152685,0.23420845869440773,3,0
3.8473349550764766,0.23152925183599044,2,0
3.5039835273963913,2.663332879059704,6,6
1.6023958372950473,0.2286641236356769,3,0
0.3393203314078139,3.2463734915928595,7,7
5.4615126701367736,0.27432571631013697,4,0
1.819828095049058,0.2503700088025398,3,0
